Year,Country,Value
1900,Austria,32533000
1901,Austria,34213000
1902,Austria,33185000
1903,Austria,33656000
1904,Austria,33856000
1905,Austria,35278000
1906,Austria,37641000
1907,Austria,40112000
1908,Austria,40604000
1909,Austria,39757000
1910,Austria,38907000
1911,Austria,39645000
1912,Austria,42082000
1913,Austria,43838000
1914,Austria,39127000
1915,Austria,38354000
1916,Austria,0
1917,Austria,0
1918,Austria,0
1919,Austria,0
1920,Austria,2830000
1921,Austria,2617000
1922,Austria,3302000
1923,Austria,2844000
1924,Austria,2958000
1925,Austria,3172000
1926,Austria,3115000
1927,Austria,3240000
1928,Austria,3465000
1929,Austria,3733000
1930,Austria,3279000
1931,Austria,3210000
1932,Austria,3325000
1933,Austria,3344000
1934,Austria,3102000
1935,Austria,3232000
1936,Austria,3141000
1937,Austria,3472000
1938,Austria,3543000
1939,Austria,3750000
1940,Austria,3942000
1941,Austria,3762000
1942,Austria,3748000
1943,Austria,3865000
1944,Austria,3872000
1945,Austria,2138000
1900,Bulgaria,123000
1901,Bulgaria,144000
1902,Bulgaria,135000
1903,Bulgaria,117000
1904,Bulgaria,147000
1905,Bulgaria,173000
1906,Bulgaria,144000
1907,Bulgaria,180000
1908,Bulgaria,175000
1909,Bulgaria,227000
1910,Bulgaria,227000
1911,Bulgaria,245000
1912,Bulgaria,245000
1913,Bulgaria,369000
1914,Bulgaria,421000
1915,Bulgaria,533000
1916,Bulgaria,640000
1917,Bulgaria,761000
1918,Bulgaria,673000
1919,Bulgaria,583000
1920,Bulgaria,760000
1921,Bulgaria,942000
1922,Bulgaria,1032000
1923,Bulgaria,1076000
1924,Bulgaria,1225000
1925,Bulgaria,1223000
1926,Bulgaria,1206000
1927,Bulgaria,1237000
1928,Bulgaria,1431000
1929,Bulgaria,1652000
1930,Bulgaria,1593000
1931,Bulgaria,1523000
1932,Bulgaria,1761000
1933,Bulgaria,1574000
1934,Bulgaria,1647000
1935,Bulgaria,1670000
1936,Bulgaria,1678000
1937,Bulgaria,1853000
1938,Bulgaria,2088000
1939,Bulgaria,2214000
1940,Bulgaria,2765000
1941,Bulgaria,2997000
1942,Bulgaria,3667000
1943,Bulgaria,4015000
1944,Bulgaria,3015000
1945,Bulgaria,3563000
1900,Germany,149569000
1901,Germany,152751000
1902,Germany,150475000
1903,Germany,162312000
1904,Germany,169449000
1905,Germany,173797000
1906,Germany,193533000
1907,Germany,205770000
1908,Germany,215283000
1909,Germany,217446000
1910,Germany,222302000
1911,Germany,234509000
1912,Germany,255810000
1913,Germany,277342000
1914,Germany,245331000
1915,Germany,234816000
1916,Germany,253350000
1917,Germany,263200000
1918,Germany,258854000
1919,Germany,210355000
1920,Germany,219416000
1921,Germany,236962000
1922,Germany,256353000
1923,Germany,180474000
1924,Germany,243189000
1925,Germany,272533000
1926,Germany,285240000
1927,Germany,304447000
1928,Germany,317136000
1929,Germany,337895000
1930,Germany,288709000
1931,Germany,251951000
1932,Germany,227388000
1933,Germany,236487000
1934,Germany,262131000
1935,Germany,290075000
1936,Germany,319680000
1937,Germany,369222000
1938,Germany,381171000
1939,Germany,400065000
1940,Germany,409370000
1941,Germany,422658000
1942,Germany,433838000
1943,Germany,443911000
1944,Germany,395420000
1945,Germany,59736000
1900,Hungary,6497000
1901,Hungary,6545000
1902,Hungary,6295000
1903,Hungary,6505000
1904,Hungary,6674000
1905,Hungary,7177000
1906,Hungary,7603000
1907,Hungary,7765000
1908,Hungary,8361000
1909,Hungary,9056000
1910,Hungary,9036000
1911,Hungary,9445000
1912,Hungary,9587000
1913,Hungary,10265000
1914,Hungary,9175000
1915,Hungary,0
1916,Hungary,9084000
1917,Hungary,8827000
1918,Hungary,0
1919,Hungary,0
1920,Hungary,5628000
1921,Hungary,6242000
1922,Hungary,7040000
1923,Hungary,7688000
1924,Hungary,7086000
1925,Hungary,6324000
1926,Hungary,6650000
1927,Hungary,7030000
1928,Hungary,7293000
1929,Hungary,7870000
1930,Hungary,6988000
1931,Hungary,6887000
1932,Hungary,6826000
1933,Hungary,6707000
1934,Hungary,6955000
1935,Hungary,7541000
1936,Hungary,7932000
1937,Hungary,8972000
1938,Hungary,9348000
1939,Hungary,10514000
1940,Hungary,11368000
1941,Hungary,12256000
1942,Hungary,12484000
1943,Hungary,12162000
1944,Hungary,9658000
1945,Hungary,4285000
1900,Italy,480000
1901,Italy,426000
1902,Italy,414000
1903,Italy,347000
1904,Italy,263000
1905,Italy,413000
1906,Italy,473000
1907,Italy,453000
1908,Italy,479000
1909,Italy,555000
1910,Italy,562000
1911,Italy,558000
1912,Italy,664000
1913,Italy,701000
1914,Italy,781000
1915,Italy,953000
1916,Italy,1306000
1917,Italy,1722000
1918,Italy,2171000
1919,Italy,1158000
1920,Italy,1740000
1921,Italy,1143000
1922,Italy,946000
1923,Italy,1133000
1924,Italy,1048000
1925,Italy,1197000
1926,Italy,1401000
1927,Italy,1094000
1928,Italy,832000
1929,Italy,1006000
1930,Italy,789000
1931,Italy,601000
1932,Italy,633000
1933,Italy,718000
1934,Italy,783000
1935,Italy,990000
1936,Italy,1576000
1937,Italy,2024000
1938,Italy,2353000
1939,Italy,3124000
1940,Italy,4397000
1941,Italy,4440000
1942,Italy,4908000
1943,Italy,3357000
1944,Italy,1142000
1945,Italy,1556000
