Year,Country,Value
1900,France,5448000
1901,France,4791000
1902,France,5004000
1903,France,6220000
1904,France,7023000
1905,France,7395000
1906,France,8481000
1907,France,10008000
1908,France,10057000
1909,France,11890000
1910,France,14606000
1911,France,16639000
1912,France,19160000
1913,France,21918000
1914,France,11252000
1915,France,620000
1916,France,1681000
1917,France,2035000
1918,France,1672000
1919,France,9413000
1920,France,13922000
1921,France,14201000
1922,France,21106000
1923,France,23349000
1924,France,29044000
1925,France,35598000
1926,France,39318000
1927,France,45482000
1928,France,49191000
1929,France,50728000
1930,France,48571000
1931,France,38559000
1932,France,27599000
1933,France,30245000
1934,France,32015000
1935,France,32046000
1936,France,33302000
1937,France,37795000
1938,France,33132000
1939,France,32993000
1940,France,12731000
1941,France,10570000
1942,France,12758000
1943,France,16879000
1944,France,9372000
1945,France,7713000
1900,Germany,12793000
1901,Germany,12115000
1902,Germany,12834000
1903,Germany,15221000
1904,Germany,15699000
1905,Germany,16848000
1906,Germany,19505000
1907,Germany,20204000
1908,Germany,18426000
1909,Germany,19712000
1910,Germany,22446000
1911,Germany,23820000
1912,Germany,27200000
1913,Germany,28608000
1914,Germany,20505000
1915,Germany,17710000
1916,Germany,21334000
1917,Germany,22465000
1918,Germany,18392000
1919,Germany,6154000
1920,Germany,6362000
1921,Germany,5907000
1922,Germany,5928000
1923,Germany,5118000
1924,Germany,4457000
1925,Germany,5923000
1926,Germany,4793000
1927,Germany,6626000
1928,Germany,6475000
1929,Germany,6374000
1930,Germany,5741000
1931,Germany,2621000
1932,Germany,1340000
1933,Germany,2492000
1934,Germany,4343000
1935,Germany,5290000
1936,Germany,6652000
1937,Germany,8522000
1938,Germany,11145000
1939,Germany,13211000
1940,Germany,17177000
1941,Germany,15566000
1942,Germany,13325000
1943,Germany,12552000
1944,Germany,10269000
1945,Germany,0
1900,Luxembourg,6171000
1901,Luxembourg,4455000
1902,Luxembourg,5130000
1903,Luxembourg,6010000
1904,Luxembourg,6348000
1905,Luxembourg,6596000
1906,Luxembourg,7229000
1907,Luxembourg,7493000
1908,Luxembourg,5799000
1909,Luxembourg,5794000
1910,Luxembourg,6263000
1911,Luxembourg,6060000
1912,Luxembourg,6511000
1913,Luxembourg,7333000
1914,Luxembourg,4900000
1915,Luxembourg,6140000
1916,Luxembourg,6958000
1917,Luxembourg,4502000
1918,Luxembourg,3131000
1919,Luxembourg,3112000
1920,Luxembourg,3704000
1921,Luxembourg,3032000
1922,Luxembourg,4489000
1923,Luxembourg,4080000
1924,Luxembourg,5334000
1925,Luxembourg,6678000
1926,Luxembourg,7756000
1927,Luxembourg,7266000
1928,Luxembourg,7027000
1929,Luxembourg,7571000
1930,Luxembourg,6649000
1931,Luxembourg,4765000
1932,Luxembourg,3313000
1933,Luxembourg,3362000
1934,Luxembourg,3828000
1935,Luxembourg,4134000
1936,Luxembourg,4896000
1937,Luxembourg,7766000
1938,Luxembourg,5141000
1939,Luxembourg,5853000
1940,Luxembourg,4886000
1941,Luxembourg,6882000
1942,Luxembourg,5109000
1943,Luxembourg,5262000
1944,Luxembourg,2923000
1945,Luxembourg,1406000
1900,Soviet Union,6001000
1901,Soviet Union,4652000
1902,Soviet Union,3925000
1903,Soviet Union,4219000
1904,Soviet Union,5193000
1905,Soviet Union,4976000
1906,Soviet Union,5345000
1907,Soviet Union,5452000
1908,Soviet Union,5578000
1909,Soviet Union,5171000
1910,Soviet Union,5742000
1911,Soviet Union,6995000
1912,Soviet Union,6935000
1913,Soviet Union,9214000
1914,Soviet Union,7660000
1915,Soviet Union,5940000
1916,Soviet Union,7250000
1917,Soviet Union,5330000
1918,Soviet Union,590000
1919,Soviet Union,90000
1920,Soviet Union,170000
1921,Soviet Union,140000
1922,Soviet Union,190000
1923,Soviet Union,410000
1924,Soviet Union,940000
1925,Soviet Union,2220000
1926,Soviet Union,3430000
1927,Soviet Union,4810000
1928,Soviet Union,6133000
1929,Soviet Union,7997000
1930,Soviet Union,10663000
1931,Soviet Union,10591000
1932,Soviet Union,12086000
1933,Soviet Union,14455000
1934,Soviet Union,21509000
1935,Soviet Union,26845000
1936,Soviet Union,27834000
1937,Soviet Union,27770000
1938,Soviet Union,26585000
1939,Soviet Union,26921000
1940,Soviet Union,29866000
1941,Soviet Union,0
1942,Soviet Union,0
1943,Soviet Union,0
1944,Soviet Union,0
1945,Soviet Union,15864000
1900,Sweden,2610000
1901,Sweden,2795000
1902,Sweden,2897000
1903,Sweden,3678000
1904,Sweden,4085000
1905,Sweden,4366000
1906,Sweden,4503000
1907,Sweden,4480000
1908,Sweden,4713000
1909,Sweden,3886000
1910,Sweden,5549000
1911,Sweden,6151000
1912,Sweden,6699000
1913,Sweden,7476000
1914,Sweden,6589000
1915,Sweden,6883000
1916,Sweden,6987000
1917,Sweden,6217000
1918,Sweden,6624000
1919,Sweden,4981000
1920,Sweden,4519000
1921,Sweden,6464000
1922,Sweden,6201000
1923,Sweden,5588000
1924,Sweden,6500000
1925,Sweden,8168000
1926,Sweden,8466000
1927,Sweden,9661000
1928,Sweden,4669000
1929,Sweden,11468000
1930,Sweden,11236000
1931,Sweden,7071000
1932,Sweden,3299000
1933,Sweden,2699000
1934,Sweden,5253000
1935,Sweden,7933000
1936,Sweden,11250000
1937,Sweden,14953000
1938,Sweden,13928000
1939,Sweden,13787000
1940,Sweden,11295000
1941,Sweden,10528000
1942,Sweden,9727000
1943,Sweden,10820000
1944,Sweden,7253000
1945,Sweden,3930000
1900,United Kingdom,14253000
1901,United Kingdom,12472000
1902,United Kingdom,13641000
1903,United Kingdom,13936000
1904,United Kingdom,13995000
1905,United Kingdom,14825000
1906,United Kingdom,15749000
1907,United Kingdom,15984000
1908,United Kingdom,15272000
1909,United Kingdom,15042000
1910,United Kingdom,15470000
1911,United Kingdom,15768000
1912,United Kingdom,14011000
1913,United Kingdom,16254000
1914,United Kingdom,15107000
1915,United Kingdom,14463000
1916,United Kingdom,13712000
1917,United Kingdom,15084000
1918,United Kingdom,14847000
1919,United Kingdom,12451000
1920,United Kingdom,12911000
1921,United Kingdom,3534000
1922,United Kingdom,6978000
1923,United Kingdom,11050000
1924,United Kingdom,11228000
1925,United Kingdom,10306000
1926,United Kingdom,4160000
1927,United Kingdom,11387000
1928,United Kingdom,11443000
1929,United Kingdom,13427000
1930,United Kingdom,11813000
1931,United Kingdom,7748000
1932,United Kingdom,7446000
1933,United Kingdom,7582000
1934,United Kingdom,10757000
1935,United Kingdom,11070000
1936,United Kingdom,12905000
1937,United Kingdom,14443000
1938,United Kingdom,12049000
1939,United Kingdom,14718000
1940,United Kingdom,17986000
1941,United Kingdom,19278000
1942,United Kingdom,20225000
1943,United Kingdom,18791000
1944,United Kingdom,15720000
1945,United Kingdom,14402000
