Country,Year,Value
Soviet Union,1939,0.00
United States,1939,0.00
Germany,1939,700.00
United Kingdom,1939,300.00
Japan,1939,200.00
Italy,1939,0.00
Soviet Union,1940,0.00
United States,1940,0.00
Germany,1940,2200.00
United Kingdom,1940,1400.00
Japan,1940,1000.00
Italy,1940,0.00
Soviet Union,1941,4800.00
United States,1941,900.00
Germany,1941,3800.00
United Kingdom,1941,4800.00
Japan,1941,1000.00
Italy,1941,0.00
Soviet Union,1942,24400.00
United States,1942,27000.00
Germany,1942,6200.00
United Kingdom,1942,8600.00
Japan,1942,1200.00
Italy,1942,0.00
Soviet Union,1943,24100.00
United States,1943,38500.00
Germany,1943,10700.00
United Kingdom,1943,7500.00
Japan,1943,800.00
Italy,1943,0.00
Soviet Union,1944,29000.00
United States,1944,20500.00
Germany,1944,18300.00
United Kingdom,1944,4600.00
Japan,1944,400.00
Italy,1944,0.00
Soviet Union,1945,20500.00
United States,1945,12600.00
Germany,1945,4400.00
United Kingdom,1945,2100.00
Japan,1945,200.00
Italy,1945,0.00
Italy,Total Only,3000.00
Soviet Union,Total Only,0.00
United States,Total Only,0.00
Germany,Total Only,0.00
United Kingdom,Total Only,0.00
Japan,Total Only,0.00
