Year,Country,Value
1900,Austria,1170000
1901,Austria,1099000
1902,Austria,1167000
1903,Austria,1162000
1904,Austria,1257000
1905,Austria,1459000
1906,Austria,1608000
1907,Austria,1731000
1908,Austria,2018000
1909,Austria,1963000
1910,Austria,2174000
1911,Austria,2348000
1912,Austria,2708000
1913,Austria,2611000
1914,Austria,0
1915,Austria,0
1916,Austria,0
1917,Austria,0
1918,Austria,0
1919,Austria,0
1920,Austria,0
1921,Austria,297000
1922,Austria,481000
1923,Austria,500000
1924,Austria,370000
1925,Austria,464000
1926,Austria,474000
1927,Austria,551000
1928,Austria,636000
1929,Austria,632000
1930,Austria,468000
1931,Austria,323000
1932,Austria,205000
1933,Austria,226000
1934,Austria,309000
1935,Austria,364000
1936,Austria,418000
1937,Austria,650000
1938,Austria,673000
1939,Austria,780000
1940,Austria,766000
1941,Austria,804000
1942,Austria,897000
1943,Austria,1054000
1944,Austria,1013000
1945,Austria,172000
1900,Germany,6461000
1901,Germany,6137000
1902,Germany,7466000
1903,Germany,8430000
1904,Germany,8564000
1905,Germany,9669000
1906,Germany,10700000
1907,Germany,11619000
1908,Germany,10726000
1909,Germany,11515000
1910,Germany,13100000
1911,Germany,14303000
1912,Germany,16355000
1913,Germany,17609000
1914,Germany,13810000
1915,Germany,12278000
1916,Germany,14871000
1917,Germany,15501000
1918,Germany,14092000
1919,Germany,7847000
1920,Germany,9278000
1921,Germany,9997000
1922,Germany,11714000
1923,Germany,6305000
1924,Germany,9835000
1925,Germany,12195000
1926,Germany,12342000
1927,Germany,16311000
1928,Germany,14517000
1929,Germany,16245000
1930,Germany,12536000
1931,Germany,8291000
1932,Germany,5771000
1933,Germany,7617000
1934,Germany,11923000
1935,Germany,16447000
1936,Germany,19208000
1937,Germany,19849000
1938,Germany,22656000
1939,Germany,23733000
1940,Germany,21540000
1941,Germany,20836000
1942,Germany,20480000
1943,Germany,20758000
1944,Germany,18318000
1945,Germany,0
1900,Italy,116000
1901,Italy,129000
1902,Italy,135000
1903,Italy,187000
1904,Italy,201000
1905,Italy,270000
1906,Italy,391000
1907,Italy,430000
1908,Italy,537000
1909,Italy,662000
1910,Italy,732000
1911,Italy,736000
1912,Italy,918000
1913,Italy,934000
1914,Italy,911000
1915,Italy,1009000
1916,Italy,1269000
1917,Italy,1332000
1918,Italy,933000
1919,Italy,732000
1920,Italy,774000
1921,Italy,700000
1922,Italy,983000
1923,Italy,1142000
1924,Italy,1359000
1925,Italy,1786000
1926,Italy,1780000
1927,Italy,1596000
1928,Italy,1960000
1929,Italy,2122000
1930,Italy,1743000
1931,Italy,1409000
1932,Italy,1396000
1933,Italy,1771000
1934,Italy,1850000
1935,Italy,2209000
1936,Italy,2025000
1937,Italy,2087000
1938,Italy,2323000
1939,Italy,2283000
1940,Italy,2258000
1941,Italy,2063000
1942,Italy,1934000
1943,Italy,1727000
1944,Italy,1026000
1945,Italy,395000
