Year,Category,Value
1900,Imports from Germany,97000000
1901,Imports from Germany,100000000
1902,Imports from Germany,102000000
1903,Imports from Germany,120000000
1904,Imports from Germany,109000000
1905,Imports from Germany,118000000
1906,Imports from Germany,135000000
1907,Imports from Germany,162000000
1908,Imports from Germany,143000000
1909,Imports from Germany,144000000
1910,Imports from Germany,169000000
1911,Imports from Germany,163000000
1912,Imports from Germany,171000000
1913,Imports from Germany,189000000
1914,Imports from Germany,190000000
1915,Imports from Germany,91000000
1916,Imports from Germany,6000000
1917,Imports from Germany,0
1918,Imports from Germany,0
1919,Imports from Germany,11000000
1920,Imports from Germany,89000000
1921,Imports from Germany,80000000
1922,Imports from Germany,117000000
1923,Imports from Germany,161000000
1924,Imports from Germany,139000000
1925,Imports from Germany,164000000
1926,Imports from Germany,198000000
1927,Imports from Germany,201000000
1928,Imports from Germany,222000000
1929,Imports from Germany,255000000
1930,Imports from Germany,177000000
1931,Imports from Germany,127000000
1932,Imports from Germany,74000000
1933,Imports from Germany,78000000
1934,Imports from Germany,69000000
1935,Imports from Germany,78000000
1936,Imports from Germany,80000000
1937,Imports from Germany,92000000
1938,Imports from Germany,65000000
1939,Imports from Germany,50000000
1940,Imports from Germany,5000000
1941,Imports from Germany,3000000
1942,Imports from Germany,0
1943,Imports from Germany,0
1944,Imports from Germany,0
1945,Imports from Germany,1000000
1946,Imports from Germany,3000000
1947,Imports from Germany,6000000
1948,Imports from Germany,32000000
1949,Imports from Germany,45000000
1950,Imports from Germany,104000000
1900,Exports to Germany,187000000
1901,Exports to Germany,192000000
1902,Exports to Germany,173000000
1903,Exports to Germany,194000000
1904,Exports to Germany,215000000
1905,Exports to Germany,194000000
1906,Exports to Germany,235000000
1907,Exports to Germany,257000000
1908,Exports to Germany,277000000
1909,Exports to Germany,235000000
1910,Exports to Germany,250000000
1911,Exports to Germany,287000000
1912,Exports to Germany,307000000
1913,Exports to Germany,332000000
1914,Exports to Germany,345000000
1915,Exports to Germany,29000000
1916,Exports to Germany,2000000
1917,Exports to Germany,0
1918,Exports to Germany,0
1919,Exports to Germany,93000000
1920,Exports to Germany,311000000
1921,Exports to Germany,372000000
1922,Exports to Germany,316000000
1923,Exports to Germany,317000000
1924,Exports to Germany,440000000
1925,Exports to Germany,470000000
1926,Exports to Germany,364000000
1927,Exports to Germany,482000000
1928,Exports to Germany,467000000
1929,Exports to Germany,410000000
1930,Exports to Germany,278000000
1931,Exports to Germany,166000000
1932,Exports to Germany,134000000
1933,Exports to Germany,140000000
1934,Exports to Germany,109000000
1935,Exports to Germany,92000000
1936,Exports to Germany,102000000
1937,Exports to Germany,126000000
1938,Exports to Germany,107000000
1939,Exports to Germany,46000000
1940,Exports to Germany,0
1941,Exports to Germany,0
1942,Exports to Germany,0
1943,Exports to Germany,0
1944,Exports to Germany,2000000
1945,Exports to Germany,83000000
1946,Exports to Germany,128000000
1947,Exports to Germany,863000000
1948,Exports to Germany,822000000
1949,Exports to Germany,441000000
1950,Exports to Germany,0
1900,Imports from Japan,33000000
1901,Imports from Japan,29000000
1902,Imports from Japan,38000000
1903,Imports from Japan,44000000
1904,Imports from Japan,47000000
1905,Imports from Japan,52000000
1906,Imports from Japan,53000000
1907,Imports from Japan,69000000
1908,Imports from Japan,68000000
1909,Imports from Japan,70000000
1910,Imports from Japan,66000000
1911,Imports from Japan,79000000
1912,Imports from Japan,81000000
1913,Imports from Japan,92000000
1914,Imports from Japan,107000000
1915,Imports from Japan,99000000
1916,Imports from Japan,182000000
1917,Imports from Japan,254000000
1918,Imports from Japan,302000000
1919,Imports from Japan,410000000
1920,Imports from Japan,415000000
1921,Imports from Japan,251000000
1922,Imports from Japan,354000000
1923,Imports from Japan,347000000
1924,Imports from Japan,340000000
1925,Imports from Japan,384000000
1926,Imports from Japan,401000000
1927,Imports from Japan,402000000
1928,Imports from Japan,384000000
1929,Imports from Japan,432000000
1930,Imports from Japan,279000000
1931,Imports from Japan,206000000
1932,Imports from Japan,134000000
1933,Imports from Japan,128000000
1934,Imports from Japan,119000000
1935,Imports from Japan,153000000
1936,Imports from Japan,172000000
1937,Imports from Japan,204000000
1938,Imports from Japan,127000000
1939,Imports from Japan,161000000
1940,Imports from Japan,158000000
1941,Imports from Japan,78000000
1942,Imports from Japan,0
1943,Imports from Japan,0
1944,Imports from Japan,0
1945,Imports from Japan,0
1946,Imports from Japan,81000000
1947,Imports from Japan,35000000
1948,Imports from Japan,63000000
1949,Imports from Japan,82000000
1950,Imports from Japan,182000000
1900,Exports to Japan,29000000
1901,Exports to Japan,19000000
1902,Exports to Japan,21000000
1903,Exports to Japan,21000000
1904,Exports to Japan,25000000
1905,Exports to Japan,52000000
1906,Exports to Japan,38000000
1907,Exports to Japan,39000000
1908,Exports to Japan,41000000
1909,Exports to Japan,27000000
1910,Exports to Japan,22000000
1911,Exports to Japan,37000000
1912,Exports to Japan,53000000
1913,Exports to Japan,58000000
1914,Exports to Japan,51000000
1915,Exports to Japan,41000000
1916,Exports to Japan,109000000
1917,Exports to Japan,186000000
1918,Exports to Japan,274000000
1919,Exports to Japan,366000000
1920,Exports to Japan,378000000
1921,Exports to Japan,238000000
1922,Exports to Japan,222000000
1923,Exports to Japan,267000000
1924,Exports to Japan,253000000
1925,Exports to Japan,230000000
1926,Exports to Japan,261000000
1927,Exports to Japan,258000000
1928,Exports to Japan,288000000
1929,Exports to Japan,259000000
1930,Exports to Japan,165000000
1931,Exports to Japan,156000000
1932,Exports to Japan,135000000
1933,Exports to Japan,143000000
1934,Exports to Japan,210000000
1935,Exports to Japan,203000000
1936,Exports to Japan,204000000
1937,Exports to Japan,289000000
1938,Exports to Japan,240000000
1939,Exports to Japan,232000000
1940,Exports to Japan,227000000
1941,Exports to Japan,60000000
1942,Exports to Japan,0
1943,Exports to Japan,2000000
1944,Exports to Japan,0
1945,Exports to Japan,1000000
1946,Exports to Japan,102000000
1947,Exports to Japan,60000000
1948,Exports to Japan,325000000
1949,Exports to Japan,468000000
1950,Exports to Japan,418000000
