Country,Category,Value
British Empire,Aircraft,4888395000
Soviet Union,Aircraft,1478600000
French Forces,Aircraft,326000000
China,Aircraft,261007000
Canada,Aircraft,73918000
American republics,Aircraft,124539000
Other countries,Aircraft,83713000
Not distributed,Aircraft,13000
British Empire,Weapons and ammunition,2595887000
Soviet Union,Weapons and ammunition,701177000
French Forces,Weapons and ammunition,298057000
China,Weapons and ammunition,451815000
Canada,Weapons and ammunition,24072000
American republics,Weapons and ammunition,54609000
Other countries,Weapons and ammunition,39772000
Not distributed,Weapons and ammunition,1437000
British Empire,Tanks and other vehicles,3731488000
Soviet Union,Tanks and other vehicles,1767082000
French Forces,Tanks and other vehicles,453352000
China,Tanks and other vehicles,174640000
Canada,Tanks and other vehicles,37943000
American republics,Tanks and other vehicles,69972000
Other countries,Tanks and other vehicles,26481000
Not distributed,Tanks and other vehicles,17626000
British Empire,Miscellaneous military equipment,2091454000
Soviet Union,Miscellaneous military equipment,980269000
French Forces,Miscellaneous military equipment,585500000
China,Miscellaneous military equipment,194520000
Canada,Miscellaneous military equipment,26128000
American republics,Miscellaneous military equipment,45957000
Other countries,Miscellaneous military equipment,30699000
Not distributed,Miscellaneous military equipment,169780000
British Empire,Vessels,21491000
Soviet Union,Vessels,10788000
French Forces,Vessels,0
China,Vessels,0
Canada,Vessels,206000
American republics,Vessels,19000
Other countries,Vessels,1000
Not distributed,Vessels,4446000
British Empire,Production machinery,361500000
Soviet Union,Production machinery,429700000
French Forces,Production machinery,2348000
China,Production machinery,9954000
Canada,Production machinery,10000
American republics,Production machinery,9546000
Other countries,Production machinery,88000
Not distributed,Production machinery,201000
British Empire,Agricultural and industrial commodities,240979000
Soviet Union,Agricultural and industrial commodities,71982000
French Forces,Agricultural and industrial commodities,278572000
China,Agricultural and industrial commodities,30593000
Canada,Agricultural and industrial commodities,4355000
American republics,Agricultural and industrial commodities,8266000
Other countries,Agricultural and industrial commodities,8183000
Not distributed,Agricultural and industrial commodities,41300000
British Empire,Misc.,364926000
Soviet Union,Misc.,76814000
French Forces,Misc.,95645000
China,Misc.,606804000
Canada,Misc.,3193000
American republics,Misc.,14080000
Other countries,Misc.,4399000
Not distributed,Misc.,4624000
