Country,Year,Value
United States,1939,0.00
Soviet Union,1939,0.00
United Kingdom,1939,1300.00
Germany,1939,2300.00
Japan,1939,700.00
Italy,1939,1700.00
United States,1940,0.00
Soviet Union,1940,0.00
United Kingdom,1940,8600.00
Germany,1940,6600.00
Japan,1940,2200.00
Italy,1940,3300.00
United States,1941,1400.00
Soviet Union,1941,8200.00
United Kingdom,1941,13200.00
Germany,1941,8400.00
Japan,1941,3200.00
Italy,1941,3500.00
United States,1942,24900.00
Soviet Union,1942,21700.00
United Kingdom,1942,17700.00
Germany,1942,11600.00
Japan,1942,6300.00
Italy,1942,2800.00
United States,1943,54100.00
Soviet Union,1943,29900.00
United Kingdom,1943,21200.00
Germany,1943,19300.00
Japan,1943,13400.00
Italy,1943,2000.00
United States,1944,74100.00
Soviet Union,1944,33200.00
United Kingdom,1944,22700.00
Germany,1944,34100.00
Japan,1944,21000.00
Italy,1944,0.00
United States,1945,37500.00
Soviet Union,1945,19100.00
United Kingdom,1945,9900.00
Germany,1945,7200.00
Japan,1945,8300.00
Italy,1945,0.00
