Country,Year,Value
United States,1939,0.00
United Kingdom,1939,57.00
Germany,1939,15.00
Japan,1939,21.00
Italy,1939,40.00
Soviet Union,1939,0.00
United States,1940,0.00
United Kingdom,1940,148.00
Germany,1940,40.00
Japan,1940,30.00
Italy,1940,12.00
Soviet Union,1940,33.00
United States,1941,544.00
United Kingdom,1941,236.00
Germany,1941,196.00
Japan,1941,49.00
Italy,1941,41.00
Soviet Union,1941,62.00
United States,1942,1854.00
United Kingdom,1942,239.00
Germany,1942,244.00
Japan,1942,68.00
Italy,1942,86.00
Soviet Union,1942,19.00
United States,1943,2654.00
United Kingdom,1943,224.00
Germany,1943,270.00
Japan,1943,122.00
Italy,1943,148.00
Soviet Union,1943,13.00
United States,1944,2247.00
United Kingdom,1944,188.00
Germany,1944,189.00
Japan,1944,248.00
Italy,1944,0.00
Soviet Union,1944,23.00
United States,1945,1513.00
United Kingdom,1945,64.00
Germany,1945,0.00
Japan,1945,51.00
Italy,1945,0.00
Soviet Union,1945,11.00
